loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,dtir1
cf,Male,nopre,type1,p1,l1,nopc,nob/c,206500,3.375,-0.1075,5750.0,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,8280.0,EXP,615,CIB,>74,to_inst,86.76470588,north,direct,31.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,706500,,,,360.0,neg_amm,not_int,not_lpsm,788000.0,sb,pr,home,1U,12540.0,EXP,817,CIB,45-54,to_inst,89.65736041,central,direct,47.0
ncf,Joint,nopre,type3,p4,l1,nopc,nob/c,746500,3.375,-0.6512,5665.95,360.0,not_neg,not_int,not_lpsm,878000.0,sb,pr,home,1U,,CIB,677,EXP,65-74,not_inst,85.02277904,north,direct,
cf,,nopre,type1,p3,l1,nopc,nob/c,206500,,,,240.0,not_neg,not_int,lpsm,,sb,pr,home,1U,4140.0,EQUI,773,EXP,35-44,to_inst,,south,direct,
ncf,,nopre,type1,p4,l1,nopc,nob/c,426500,4.125,-0.0864,250.0,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,8400.0,EXP,805,CIB,35-44,to_inst,75.08802817,south,direct,42.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,216500,4.625,1.0224,,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4080.0,EXP,671,CIB,55-64,to_inst,72.65100671,north,direct,36.0
cf,,nopre,type1,p1,l1,nopc,nob/c,96500,4.375,0.871,3098.75,360.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,4080.0,EXP,678,EXP,65-74,to_inst,81.77966102,south,direct,27.0
cf,,nopre,type1,p3,l1,nopc,nob/c,196500,4.625,1.1506,5525.0,360.0,not_neg,not_int,not_lpsm,558000.0,sb,ir,home,1U,8160.0,CIB,579,CIB,55-64,to_inst,35.21505376,south,direct,46.0
cf,Joint,nopre,type3,p3,l1,nopc,nob/c,406500,,,,180.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7680.0,EQUI,864,EXP,55-64,not_inst,,south,direct,
cf,Female,nopre,type1,p4,l1,nopc,nob/c,496500,3.875,0.1869,0.0,360.0,not_neg,not_int,not_lpsm,908000.0,sb,pr,home,1U,6000.0,CRIF,851,CIB,65-74,not_inst,54.68061674,north,direct,49.0
cf,Joint,nopre,type3,p4,l1,nopc,nob/c,596500,3.125,-0.4055,4244.39,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,,CRIF,753,EXP,35-44,not_inst,99.74916388,north,direct,
cf,,pre,type1,p1,l1,nopc,nob/c,336500,3.75,0.0122,3092.5,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,9240.0,CRIF,892,CIB,45-54,to_inst,71.9017094,south,direct,13.0
,Male,nopre,type1,p3,l1,nopc,nob/c,486500,4.375,0.3655,4882.63,360.0,not_neg,not_int,not_lpsm,1108000.0,sb,pr,home,1U,6300.0,CIB,509,CIB,45-54,to_inst,43.90794224,north,direct,47.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,356500,3.5,0.1677,10200.0,360.0,not_neg,int_only,not_lpsm,488000.0,sb,pr,home,1U,4800.0,EXP,809,EXP,45-54,to_inst,73.05327869,south,direct,36.0
cf,Female,pre,type1,p1,l2,nopc,nob/c,436500,4.375,0.6801,1533.0,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,10560.0,CRIF,505,CIB,25-34,to_inst,95.30567686,north,direct,36.0
cf,Male,pre,type1,p1,l1,nopc,nob/c,536500,4.375,-0.1077,1812.4,360.0,neg_amm,not_int,not_lpsm,738000.0,sb,pr,home,1U,20940.0,EXP,876,EXP,35-44,not_inst,72.69647696,north,direct,38.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,246500,4.875,0.6399,0.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,6900.0,EXP,634,EXP,35-44,to_inst,82.71812081,north,direct,43.0
cf,,nopre,type2,p3,l1,nopc,b/c,186500,,,,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3300.0,CIB,772,CIB,45-54,to_inst,85.55045872,south,direct,43.0
cf,Joint,nopre,type3,p1,l1,nopc,nob/c,316500,3.75,-0.5609,1027.0,360.0,not_neg,not_int,not_lpsm,778000.0,sb,pr,home,1U,4980.0,CIB,749,EXP,65-74,not_inst,40.68123393,south,direct,36.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,4.75,1.4262,3437.0,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,2520.0,CIB,554,CIB,55-64,to_inst,76.68539326,south,direct,37.0
cf,,pre,type1,p3,l1,nopc,nob/c,646500,4.56,0.244,950.0,360.0,not_neg,not_int,not_lpsm,1348000.0,sb,pr,home,1U,9300.0,EXP,575,EXP,55-64,not_inst,47.95994065,south,direct,48.0
cf,Female,pre,type1,p1,l2,nopc,nob/c,486500,3.99,-0.0085,9637.5,360.0,not_neg,not_int,not_lpsm,648000.0,sb,pr,home,1U,16440.0,CIB,802,CIB,45-54,to_inst,75.07716049,north,direct,37.0
cf,,nopre,type1,p3,l1,nopc,nob/c,246500,,,,288.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,1920.0,CRIF,695,EXP,65-74,to_inst,88.66906475,south,direct,46.0
ncf,Male,pre,type1,p4,l1,nopc,nob/c,846500,3.5,-0.3665,0.0,180.0,not_neg,not_int,not_lpsm,1418000.0,sb,sr,home,1U,31920.0,EXP,816,CIB,55-64,not_inst,59.69675599,north,direct,31.0
cf,Joint,nopre,type2,p4,l1,nopc,b/c,406500,3.625,0.6145,0.0,360.0,not_neg,int_only,not_lpsm,478000.0,sb,pr,home,2U,,CRIF,581,EXP,35-44,not_inst,85.041841,north,direct,
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,176500,3.75,1.0395,4593.75,180.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,7200.0,CRIF,764,EXP,35-44,to_inst,65.85820896,north,direct,43.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,476500,4.5,0.1016,7140.0,360.0,not_neg,not_int,not_lpsm,838000.0,sb,pr,home,1U,9660.0,EXP,838,EXP,55-64,to_inst,56.86157518,south,direct,25.0
ncf,Female,nopre,type1,p3,l2,nopc,nob/c,906500,3.99,-0.0535,9000.0,360.0,not_neg,not_int,not_lpsm,1558000.0,sb,pr,home,1U,13260.0,CIB,640,CIB,45-54,not_inst,58.18356868,north,direct,39.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,286500,3.375,-0.1903,5.8,120.0,not_neg,not_int,not_lpsm,688000.0,sb,sr,home,1U,19920.0,CRIF,643,EXP,55-64,not_inst,41.64244186,north,direct,37.0
cf,,nopre,type2,p1,l1,nopc,b/c,166500,4.125,1.5965,3456.27,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,4440.0,CIB,616,CIB,45-54,to_inst,99.10714286,south,direct,44.0
cf,,nopre,type1,p3,l1,nopc,nob/c,126500,,,,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,1620.0,CRIF,720,EXP,55-64,to_inst,41.07142857,south,direct,55.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,646500,4.5,0.7915,4475.0,360.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,12060.0,CIB,661,EXP,55-64,to_inst,82.04314721,north,direct,47.0
cf,Male,pre,type1,p3,l1,nopc,nob/c,316500,4.75,0.6849,10416.4,360.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,5340.0,EXP,553,CIB,>74,to_inst,79.52261307,north,direct,43.0
cf,,nopre,type1,p3,l1,nopc,nob/c,266500,3.75,0.1554,5800.0,360.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,5640.0,CRIF,871,CIB,45-54,to_inst,42.43630573,south,direct,24.0
cf,Female,nopre,type1,p1,l1,nopc,nob/c,236500,4.5,1.051,895.0,360.0,not_neg,not_int,lpsm,268000.0,sb,sr,home,1U,3300.0,EXP,808,CIB,35-44,not_inst,88.24626866,central,direct,44.0
,,nopre,type1,p3,l2,opc,nob/c,56500,5.99,1.552,,360.0,not_neg,int_only,not_lpsm,578000.0,sb,pr,home,1U,4020.0,EXP,529,EXP,65-74,to_inst,9.775086505,south,direct,42.0
cf,,nopre,type1,p3,l1,nopc,nob/c,446500,3.99,0.3998,5730.0,360.0,not_neg,not_int,not_lpsm,548000.0,sb,pr,home,1U,6900.0,CIB,561,EXP,35-44,to_inst,81.47810219,south,direct,44.0
cf,Male,pre,type1,p4,l1,nopc,nob/c,606500,3.99,0.7092,6525.0,360.0,not_neg,not_int,not_lpsm,638000.0,sb,pr,home,1U,13500.0,CIB,885,CIB,25-34,not_inst,95.06269592,north,direct,37.0
cf,,nopre,type1,p1,l1,nopc,nob/c,196500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9060.0,EQUI,610,EXP,35-44,to_inst,,south,direct,
cf,,nopre,type1,p4,l1,nopc,nob/c,296500,4.5,0.4911,,300.0,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,6900.0,CIB,754,EXP,55-64,to_inst,59.53815261,south,direct,43.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,196500,,,,180.0,neg_amm,not_int,not_lpsm,,sb,pr,home,3U,8100.0,EQUI,782,EXP,55-64,to_inst,,central,direct,
cf,,nopre,type1,p3,l1,nopc,nob/c,236500,3.75,0.8631,5380.0,180.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,5700.0,CRIF,564,EXP,35-44,to_inst,79.36241611,south,direct,44.0
cf,,nopre,type1,p3,l1,nopc,nob/c,446500,4.99,0.9345,295.0,360.0,neg_amm,not_int,not_lpsm,988000.0,sb,pr,home,1U,10320.0,EXP,660,EXP,55-64,to_inst,45.19230769,south,direct,44.0
ncf,,nopre,type1,p1,l1,nopc,nob/c,656500,,,,180.0,not_neg,not_int,not_lpsm,1258000.0,sb,pr,home,1U,41400.0,CIB,500,EXP,45-54,to_inst,52.18600954,south,direct,27.0
cf,Male,pre,type1,p1,l2,nopc,nob/c,216500,3.99,0.553,5847.97,360.0,not_neg,not_int,not_lpsm,288000.0,sb,sr,home,1U,4740.0,CIB,861,CIB,45-54,to_inst,75.17361111,north,direct,32.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,346500,,,,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1U,4740.0,CRIF,841,CIB,65-74,to_inst,84.92647059,north,direct,46.0
cf,Joint,nopre,type3,p3,l1,nopc,nob/c,236500,3.875,-0.1957,,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,6900.0,CRIF,516,EXP,65-74,to_inst,67.95977011,north,direct,30.0
cf,,nopre,type1,p3,l1,nopc,nob/c,296500,3.875,0.1307,9601.68,300.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,4920.0,CIB,829,CIB,25-34,to_inst,76.41752577,south,direct,38.0
cf,,nopre,type1,p3,l1,nopc,nob/c,426500,3.75,0.2874,12996.25,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,3660.0,EXP,868,CIB,55-64,to_inst,64.81762918,south,direct,49.0
cf,Female,pre,type1,p4,l1,nopc,nob/c,306500,4.25,0.7746,2661.42,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,4320.0,CIB,644,CIB,45-54,not_inst,71.61214953,north,direct,42.0
cf,Female,nopre,type1,p2,l2,nopc,nob/c,126500,4.56,0.277,1235.0,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,2760.0,CIB,568,CIB,45-54,not_inst,51.00806452,north,direct,40.0
ncf,Male,nopre,type1,p4,l1,nopc,nob/c,436500,3.99,-0.2168,755.01,360.0,not_neg,not_int,not_lpsm,798000.0,sb,pr,home,1U,235980.0,CIB,788,EXP,25-34,not_inst,54.69924812,north,direct,7.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,56500,5.375,1.4218,2203.25,360.0,not_neg,not_int,not_lpsm,98000.0,sb,pr,home,1U,900.0,CIB,683,CIB,55-64,to_inst,57.65306122,central,direct,38.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,686500,4.0,0.403,2800.0,360.0,not_neg,not_int,not_lpsm,838000.0,sb,pr,home,1U,19440.0,CRIF,843,EXP,65-74,not_inst,81.92124105,north,direct,28.0
cf,Male,pre,type1,p3,l1,nopc,nob/c,156500,4.5,0.3597,3685.0,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,1980.0,EXP,619,CIB,35-44,to_inst,68.64035088,north,direct,47.0
cf,Male,pre,type1,p4,l1,nopc,nob/c,286500,3.5,0.1658,9536.21,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,9060.0,CRIF,659,EXP,25-34,to_inst,93.01948052,north,direct,41.0
cf,Female,pre,type1,p1,l1,nopc,nob/c,196500,4.25,0.339,2513.2,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,2160.0,CIB,786,CIB,65-74,to_inst,79.23387097,north,direct,52.0
ncf,Male,nopre,type1,p1,l1,nopc,nob/c,656500,3.5,-0.1068,6187.5,360.0,not_neg,not_int,not_lpsm,948000.0,sb,pr,home,1U,21540.0,CIB,545,CIB,35-44,to_inst,69.25105485,south,direct,33.0
cf,Female,pre,type1,p1,l1,nopc,nob/c,216500,4.375,0.8822,2433.66,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,4680.0,CRIF,533,CIB,45-54,to_inst,83.91472868,north,direct,31.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,536500,4.5,0.0657,1823.54,360.0,not_neg,not_int,not_lpsm,978000.0,sb,pr,home,1U,9900.0,CRIF,789,EXP,55-64,to_inst,54.85685072,central,direct,35.0
ncf,Joint,nopre,type3,p4,l1,nopc,nob/c,586500,3.625,-0.444,995.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1U,,CRIF,746,EXP,45-54,not_inst,77.37467018,south,direct,
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,476500,3.99,-0.3089,0.0,360.0,not_neg,not_int,not_lpsm,638000.0,sb,pr,home,1U,5580.0,CRIF,825,EXP,35-44,not_inst,74.68652038,central,direct,49.0
cf,,nopre,type1,p3,l1,nopc,nob/c,296500,4.125,0.5236,5690.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,4800.0,CRIF,577,CIB,25-34,to_inst,69.27570093,south,direct,43.0
cf,Joint,nopre,type2,p4,l1,nopc,b/c,396500,,,,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,,EXP,504,EXP,35-44,to_inst,94.85645933,south,direct,
cf,Male,nopre,type1,p4,l1,nopc,nob/c,566500,3.875,0.3004,13171.25,360.0,neg_amm,not_int,not_lpsm,708000.0,sb,pr,home,1U,8220.0,CIB,628,CIB,45-54,to_inst,80.01412429,north,direct,33.0
cf,,nopre,type3,p4,l1,nopc,nob/c,416500,2.99,-0.7077,3526.21,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,,CRIF,663,EXP,>74,to_inst,73.32746479,south,direct,
cf,Male,nopre,type1,p3,l2,nopc,nob/c,226500,4.375,0.35,3500.0,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,5520.0,CIB,821,CIB,65-74,to_inst,69.05487805,north,direct,6.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,636500,4.375,0.4131,0.0,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,7620.0,EXP,668,EXP,45-54,not_inst,89.90112994,north,direct,44.0
cf,Joint,pre,type1,p4,l1,nopc,nob/c,146500,3.875,0.4876,3535.0,180.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,6000.0,EXP,789,EXP,55-64,to_inst,47.56493506,north,direct,22.0
ncf,Joint,pre,type1,p1,l1,nopc,nob/c,706500,4.25,0.3339,1134.69,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,12360.0,CRIF,552,EXP,35-44,to_inst,94.45187166,south,direct,44.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,396500,3.625,0.0286,0.0,360.0,not_neg,not_int,not_lpsm,548000.0,sb,pr,home,1U,4500.0,CIB,732,CIB,45-54,not_inst,72.3540146,north,direct,41.0
ncf,,nopre,type1,p3,l1,nopc,nob/c,196500,4.25,0.3255,6218.75,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,2160.0,EXP,768,CIB,>74,to_inst,73.32089552,south,direct,41.0
cf,,nopre,type1,p3,l1,nopc,nob/c,466500,3.125,-0.4421,0.0,120.0,not_neg,not_int,not_lpsm,1858000.0,sb,pr,home,1U,36420.0,EXP,741,EXP,45-54,to_inst,25.10764263,south,direct,31.0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,246500,3.125,0.1611,4527.98,180.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,8580.0,EXP,532,EXP,55-64,to_inst,68.8547486,north,direct,23.0
cf,Male,nopre,type2,p3,l1,nopc,b/c,66500,,,,360.0,not_neg,not_int,not_lpsm,128000.0,sb,pr,home,1U,1140.0,CIB,721,CIB,55-64,to_inst,51.953125,north,direct,46.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,306500,4.5,0.6829,1250.0,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,6900.0,EXP,711,EXP,55-64,to_inst,78.99484536,north,direct,41.0
cf,Male,nopre,type3,p4,l1,nopc,nob/c,216500,3.25,-0.4193,2264.79,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,,EXP,842,EXP,55-64,to_inst,72.65100671,south,direct,
cf,Male,nopre,type1,p3,l1,nopc,nob/c,136500,,,,144.0,neg_amm,not_int,not_lpsm,278000.0,sb,pr,home,1U,5220.0,CIB,671,CIB,35-44,to_inst,49.10071942,north,direct,27.0
cf,Joint,nopre,type2,p4,l1,nopc,b/c,316500,4.125,1.0924,0.0,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,,EXP,719,EXP,45-54,to_inst,88.40782123,north,direct,
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,316500,4.99,1.1221,0.0,360.0,not_neg,not_int,not_lpsm,968000.0,sb,pr,home,1U,10140.0,CIB,749,EXP,55-64,to_inst,32.69628099,north,direct,12.0
cf,,nopre,type1,p3,l1,nopc,nob/c,206500,3.99,0.5565,6325.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5820.0,EXP,866,CIB,45-54,to_inst,80.03875969,south,direct,37.0
cf,Male,nopre,type3,p3,l1,nopc,nob/c,296500,3.99,-0.1178,2909.5,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3240.0,EXP,506,CIB,55-64,to_inst,96.26623377,north,direct,45.0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,706500,3.99,0.343,1050.0,360.0,not_neg,not_int,not_lpsm,948000.0,sb,pr,home,1U,12600.0,CRIF,540,CIB,35-44,not_inst,74.52531646,south,direct,31.0
ncf,,nopre,type1,p3,l1,nopc,nob/c,736500,3.5,-0.2101,15008.13,180.0,not_neg,not_int,not_lpsm,1208000.0,sb,pr,home,1U,19980.0,EXP,888,EXP,55-64,to_inst,60.96854305,south,direct,42.0
cf,Male,nopre,type2,p3,l1,nopc,b/c,186500,,,,360.0,neg_amm,not_int,not_lpsm,218000.0,sb,pr,home,1U,2520.0,EXP,538,CIB,35-44,to_inst,85.55045872,south,direct,57.0
