loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,Region,Security_Type,Status
cf,Male,nopre,type1,p4,l1,nopc,nob/c,366500,240.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8880.0,EXP,641,CIB,55-64,to_inst,north,direct,0
cf,,nopre,type1,p1,l1,nopc,nob/c,136500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,6240.0,EXP,564,EXP,65-74,to_inst,south,direct,0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,366500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7500.0,EXP,763,EXP,35-44,not_inst,north,direct,0
cf,,nopre,type2,p3,l1,nopc,b/c,66500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2640.0,CRIF,572,CIB,55-64,to_inst,south,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,376500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10380.0,EXP,612,CIB,45-54,to_inst,south,direct,0
ncf,Joint,nopre,type1,p3,l1,nopc,nob/c,866500,180.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,5280.0,CIB,795,EXP,55-64,to_inst,north,direct,1
cf,Male,nopre,type1,p3,l1,nopc,nob/c,166500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2640.0,CIB,630,EXP,25-34,to_inst,south,direct,0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,386500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4680.0,CRIF,533,EXP,25-34,not_inst,south,direct,0
cf,Female,nopre,type1,p1,l1,nopc,nob/c,146500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2700.0,CRIF,788,CIB,45-54,to_inst,north,direct,1
cf,Male,nopre,type1,p4,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7860.0,CIB,509,CIB,35-44,not_inst,north,direct,0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,316500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10080.0,EXP,578,EXP,35-44,not_inst,south,direct,0
,Female,nopre,type1,p3,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5820.0,CRIF,563,CIB,65-74,to_inst,north,direct,0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,286500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5640.0,CRIF,817,CIB,35-44,not_inst,south,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,216500,300.0,not_neg,not_int,lpsm,sb,pr,home,1U,3300.0,EQUI,619,EXP,45-54,to_inst,south,direct,1
cf,,nopre,type1,p4,l1,nopc,nob/c,536500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12960.0,CRIF,803,EXP,35-44,to_inst,south,direct,1
cf,,nopre,type3,p3,l1,nopc,nob/c,196500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7440.0,EXP,543,CIB,55-64,to_inst,south,direct,0
cf,,nopre,type1,p3,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6240.0,EXP,641,EXP,65-74,to_inst,south,direct,0
cf,Joint,pre,type1,p4,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10200.0,EXP,580,EXP,45-54,not_inst,north,direct,0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,360.0,not_neg,not_int,lpsm,sb,pr,home,1U,1740.0,EQUI,677,EXP,>74,to_inst,north,direct,1
cf,Female,nopre,type1,p3,l1,nopc,nob/c,566500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8700.0,CIB,666,CIB,35-44,not_inst,south,direct,0
cf,Male,nopre,type2,p2,l1,nopc,b/c,96500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,1440.0,EXP,707,CIB,45-54,to_inst,north,direct,1
cf,Male,pre,type1,p1,l1,nopc,nob/c,406500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,19560.0,EXP,833,CIB,35-44,to_inst,north,direct,0
cf,Joint,nopre,type3,p1,l1,nopc,nob/c,506500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,7740.0,CRIF,766,EXP,25-34,not_inst,central,direct,0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3780.0,CRIF,719,CIB,45-54,to_inst,north,direct,0
cf,Male,nopre,type3,p3,l1,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2100.0,CRIF,819,CIB,65-74,to_inst,central,direct,0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,136500,324.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4260.0,CRIF,809,CIB,65-74,to_inst,south,direct,0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,86500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,1860.0,EQUI,824,EXP,<25,not_inst,north,direct,1
cf,Male,nopre,type1,p3,l1,nopc,nob/c,326500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,5340.0,EXP,819,CIB,35-44,to_inst,south,direct,0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,276500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4920.0,CRIF,578,CIB,65-74,to_inst,south,direct,1
cf,,nopre,type1,p4,l1,nopc,nob/c,466500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7500.0,CIB,768,EXP,55-64,to_inst,south,direct,0
cf,Female,nopre,type2,p4,l1,nopc,b/c,376500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,EXP,709,EXP,45-54,to_inst,south,direct,0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,276500,300.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3360.0,CRIF,614,CIB,<25,to_inst,north,direct,1
cf,,nopre,type1,p3,l1,nopc,nob/c,216500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10260.0,CIB,851,EXP,45-54,to_inst,south,direct,0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,226500,360.0,not_neg,int_only,not_lpsm,sb,ir,home,4U,9420.0,CRIF,604,CIB,45-54,not_inst,south,direct,0
ncf,Male,pre,type1,p1,l1,nopc,nob/c,606500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,27600.0,EQUI,800,EXP,35-44,not_inst,north,direct,1
cf,Male,nopre,type1,p4,l1,nopc,nob/c,426500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10260.0,CRIF,819,CIB,45-54,to_inst,south,direct,0
cf,Male,nopre,type1,p2,l1,nopc,nob/c,126500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2340.0,CRIF,707,EXP,>74,to_inst,north,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,216500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4860.0,CRIF,663,CIB,45-54,to_inst,south,direct,1
cf,Male,nopre,type1,p1,l1,nopc,nob/c,226500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8100.0,CRIF,875,CIB,45-54,to_inst,north,direct,0
cf,Joint,pre,type2,p4,l1,nopc,b/c,156500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4320.0,CIB,610,EXP,45-54,to_inst,north,direct,0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,186500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2820.0,EXP,665,EXP,55-64,not_inst,north,direct,0
cf,,nopre,type1,p3,l1,nopc,nob/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4800.0,EXP,589,EXP,35-44,to_inst,south,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,616500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10260.0,CRIF,686,EXP,45-54,not_inst,north,direct,0
cf,Female,nopre,type1,p1,l1,nopc,nob/c,556500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6000.0,CIB,848,CIB,25-34,not_inst,south,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,476500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,8400.0,EQUI,834,EXP,25-34,not_inst,south,direct,1
cf,,nopre,type1,p3,l1,nopc,nob/c,126500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3960.0,CIB,842,CIB,55-64,to_inst,south,direct,0
cf,,pre,type1,p1,l1,nopc,nob/c,596500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,17220.0,CRIF,890,EXP,55-64,not_inst,south,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,246500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4860.0,EQUI,583,EXP,35-44,to_inst,north,direct,1
cf,Joint,nopre,type3,p1,l1,nopc,nob/c,396500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3540.0,EQUI,843,EXP,<25,not_inst,north,direct,1
cf,Male,nopre,type1,p3,l1,nopc,nob/c,596500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8340.0,CRIF,597,CIB,45-54,not_inst,north,direct,0
cf,Joint,nopre,type2,p3,l1,nopc,b/c,496500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4860.0,CIB,580,EXP,55-64,not_inst,south,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,676500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,12060.0,EXP,585,CIB,55-64,to_inst,south,direct,1
ncf,Joint,nopre,type1,p1,l1,nopc,nob/c,766500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8580.0,CIB,674,EXP,35-44,not_inst,south,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,376500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,8100.0,CIB,679,CIB,45-54,not_inst,south,direct,0
cf,,nopre,type1,p1,l1,nopc,nob/c,236500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6660.0,EQUI,676,EXP,65-74,to_inst,south,direct,1
cf,Male,nopre,type1,p3,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5880.0,CIB,675,CIB,25-34,not_inst,north,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,366500,324.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8580.0,CRIF,682,EXP,45-54,to_inst,south,direct,0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,436500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12960.0,CIB,505,EXP,35-44,to_inst,north,direct,0
cf,,nopre,type2,p1,l1,nopc,b/c,236500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4860.0,CRIF,826,CIB,35-44,to_inst,south,direct,0
cf,Female,nopre,type3,p3,l1,nopc,nob/c,66500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2220.0,CIB,610,CIB,>74,to_inst,south,direct,0
cf,,nopre,type2,p4,l1,nopc,b/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,857,EXP,35-44,to_inst,south,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,196500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2520.0,CRIF,506,EXP,45-54,to_inst,north,direct,0
cf,,pre,type1,p1,l1,nopc,nob/c,526500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8160.0,EXP,844,EXP,35-44,to_inst,south,direct,0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4620.0,CRIF,765,CIB,>74,to_inst,north,direct,0
ncf,Female,pre,type1,p3,l1,nopc,nob/c,176500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2400.0,CIB,630,CIB,65-74,to_inst,north,direct,0
cf,Joint,nopre,type2,p1,l1,nopc,b/c,336500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,6120.0,CRIF,887,EXP,25-34,not_inst,south,direct,0
cf,Joint,nopre,type3,p3,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2220.0,CIB,841,EXP,65-74,to_inst,central,direct,0
cf,Male,pre,type1,p4,l1,nopc,nob/c,286500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3660.0,CIB,705,CIB,25-34,not_inst,north,direct,0
cf,Male,nopre,type3,p4,l1,nopc,nob/c,576500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,,EXP,887,CIB,35-44,not_inst,north,direct,0
ncf,Joint,nopre,type2,p3,l1,nopc,b/c,336500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4860.0,CIB,784,EXP,55-64,to_inst,south,direct,1
cf,Male,nopre,type3,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,EXP,734,CIB,>74,not_inst,north,direct,0
cf,Joint,nopre,type2,p3,l1,nopc,b/c,156500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3240.0,CIB,648,EXP,55-64,to_inst,central,direct,0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,426500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4440.0,CRIF,884,EXP,55-64,to_inst,central,direct,1
cf,Male,pre,type1,p1,l1,nopc,nob/c,216500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2220.0,CRIF,533,CIB,25-34,to_inst,north,direct,0
ncf,Joint,pre,type1,p1,l1,nopc,nob/c,526500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9060.0,CRIF,522,EXP,45-54,to_inst,south,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6180.0,EXP,611,CIB,35-44,not_inst,south,direct,0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,386500,300.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7440.0,CRIF,516,CIB,35-44,to_inst,south,direct,0
ncf,Female,nopre,type1,p4,l1,nopc,nob/c,776500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12900.0,EXP,798,CIB,35-44,to_inst,north,direct,0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,246500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4020.0,CRIF,881,CIB,45-54,to_inst,north,direct,0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,276500,216.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3240.0,CIB,682,CIB,35-44,to_inst,north-east,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,226500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,5220.0,EQUI,791,EXP,55-64,not_inst,north,direct,1
cf,Female,nopre,type1,p1,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4320.0,EXP,811,CIB,35-44,not_inst,north,direct,0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,456500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7740.0,CRIF,813,CIB,25-34,not_inst,north,direct,0
cf,Female,pre,type1,p4,l1,nopc,nob/c,156500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7020.0,CIB,733,EXP,55-64,to_inst,south,direct,0
cf,,nopre,type3,p4,l1,nopc,nob/c,246500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,,EXP,660,CIB,35-44,to_inst,south,direct,1
cf,Male,nopre,type1,p4,l1,nopc,nob/c,656500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12600.0,EXP,535,CIB,35-44,not_inst,south,direct,0
ncf,,nopre,type1,p4,l1,nopc,nob/c,736500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,18180.0,CRIF,676,EXP,45-54,not_inst,south,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,666500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7500.0,CIB,507,CIB,45-54,not_inst,south,direct,0
cf,Male,nopre,type2,p3,l1,nopc,b/c,266500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3240.0,CIB,684,CIB,65-74,not_inst,south,direct,0
,Male,nopre,type3,p3,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5160.0,EXP,779,CIB,35-44,to_inst,south,direct,0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,246500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3960.0,EQUI,674,EXP,55-64,to_inst,north,direct,1
ncf,Male,pre,type1,p1,l1,nopc,nob/c,316500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5760.0,CRIF,707,CIB,35-44,not_inst,north,direct,0
cf,Joint,nopre,type2,p3,l1,nopc,b/c,236500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3120.0,CIB,763,EXP,65-74,to_inst,north,direct,0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,366500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,6060.0,CRIF,563,EXP,35-44,not_inst,south,direct,0
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,486500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,4860.0,CIB,590,EXP,55-64,to_inst,central,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,366500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6420.0,CIB,715,EXP,35-44,to_inst,south,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,506500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7140.0,EXP,757,EXP,55-64,not_inst,north,direct,0
cf,,nopre,type1,p4,l2,nopc,nob/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3360.0,EXP,799,CIB,65-74,to_inst,south,direct,0
cf,,nopre,type2,p4,l1,nopc,b/c,196500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,EXP,555,CIB,45-54,to_inst,south,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,256500,360.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,3780.0,CRIF,608,EXP,55-64,to_inst,south,direct,0
ncf,Male,nopre,type1,p3,l1,nopc,nob/c,336500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6480.0,EQUI,822,EXP,45-54,to_inst,north,direct,1
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,396500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6480.0,EXP,541,EXP,35-44,to_inst,north,direct,1
cf,Female,pre,type3,p2,l1,nopc,nob/c,166500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8040.0,CIB,573,CIB,45-54,to_inst,central,direct,0
cf,,nopre,type1,p2,l1,nopc,nob/c,146500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,6180.0,EXP,514,CIB,25-34,to_inst,south,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,196500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5340.0,EXP,739,CIB,45-54,not_inst,north,direct,0
ncf,Joint,nopre,type1,p4,l1,nopc,nob/c,896500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,11280.0,CIB,711,EXP,65-74,to_inst,north,direct,1
cf,Joint,pre,type1,p3,l1,nopc,nob/c,156500,348.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2400.0,CIB,713,EXP,>74,to_inst,north,direct,0
cf,,nopre,type2,p1,l1,nopc,b/c,326500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8160.0,EXP,659,CIB,45-54,not_inst,south,direct,0
cf,Male,nopre,type3,p4,l1,nopc,nob/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,750,CIB,55-64,to_inst,north,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,186500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,5040.0,CIB,667,EXP,45-54,to_inst,south,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,156500,324.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5520.0,EXP,603,EXP,55-64,to_inst,north,direct,0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,456500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7920.0,EXP,555,CIB,25-34,not_inst,south,direct,0
cf,,nopre,type1,p3,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6600.0,EXP,596,EXP,45-54,to_inst,south,direct,0
ncf,Male,nopre,type1,p1,l1,nopc,nob/c,856500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,11700.0,CRIF,566,CIB,45-54,to_inst,south,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,12240.0,EXP,605,CIB,45-54,to_inst,north,direct,0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4860.0,EXP,572,CIB,55-64,to_inst,north,direct,0
cf,,nopre,type2,p4,l1,nopc,b/c,126500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3480.0,CRIF,542,CIB,55-64,to_inst,south,direct,0
cf,Joint,pre,type2,p4,l1,nopc,b/c,276500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,0.0,EQUI,860,EXP,45-54,to_inst,north,direct,1
ncf,Joint,nopre,type1,p4,l2,nopc,nob/c,936500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,18300.0,CIB,738,EXP,45-54,to_inst,north,direct,1
cf,Joint,pre,type1,p3,l1,nopc,nob/c,486500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7320.0,CIB,520,EXP,45-54,to_inst,north,direct,1
cf,Joint,nopre,type2,p4,l1,nopc,b/c,366500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,771,EXP,35-44,not_inst,south,direct,0
cf,Joint,pre,type1,p4,l1,nopc,nob/c,626500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,10080.0,CIB,763,EXP,45-54,not_inst,south,direct,0
cf,,nopre,type2,p1,l1,nopc,b/c,56500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2940.0,CRIF,592,CIB,45-54,to_inst,central,direct,1
cf,Female,nopre,type2,p1,l1,nopc,b/c,216500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,2340.0,CIB,867,CIB,35-44,to_inst,north,direct,1
cf,Female,nopre,type2,p1,l1,nopc,b/c,326500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5400.0,EQUI,683,EXP,25-34,to_inst,north,direct,1
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,236500,360.0,not_neg,not_int,not_lpsm,sb,ir,home,1U,9300.0,EXP,632,EXP,55-64,to_inst,north,direct,0
cf,,nopre,type1,p2,l1,nopc,nob/c,86500,180.0,not_neg,int_only,not_lpsm,sb,pr,home,1U,4860.0,CIB,877,CIB,55-64,to_inst,south,direct,1
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,366500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8640.0,CIB,544,EXP,25-34,to_inst,north,direct,0
cf,Male,pre,type1,p4,l1,nopc,nob/c,246500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4980.0,CRIF,599,CIB,35-44,to_inst,north,direct,0
cf,Female,nopre,type1,p1,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,sb,sr,home,1U,5820.0,CIB,587,CIB,55-64,not_inst,north,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,596500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,9180.0,EXP,676,EXP,35-44,not_inst,south,direct,0
cf,,nopre,type2,p1,l2,nopc,b/c,156500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3120.0,CIB,554,CIB,25-34,to_inst,south,direct,0
cf,Male,nopre,type2,p3,l2,nopc,b/c,306500,300.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,3300.0,CRIF,713,CIB,35-44,to_inst,north,direct,1
cf,Male,nopre,type1,p1,l1,nopc,nob/c,256500,180.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,9240.0,EXP,576,CIB,55-64,to_inst,south,direct,0
cf,Joint,nopre,type1,p4,l2,nopc,nob/c,536500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,8040.0,CIB,596,EXP,25-34,not_inst,south,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,486500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7800.0,CRIF,723,EXP,45-54,not_inst,north,direct,0
